MISX:BSPB,Bank Saint-Petersburg Public Joint-Stock Company,Russia
UKR:POON,Poltavaoblenergo Public Joint - Stock Company,Ukraine
KAS:RAHT,Rakhat JSC,Kazakhstan
WBAG:BEAG,:be Ag,Austria
ENXTPA:MLAHC,@Health SA,France
TSXV:ONE,01 Communique Laboratory Inc.,Canada
WSE:01C,01Cyberaton Proenergy Spolka Akcyjna,Poland
TPEX:8458,1 Production Film Co.,Taiwan
XTRA:1U1,1&1 AG,Germany
BME:S4008,"1.0 Tecnocentro, Sicav, S.A.",Spain
ENXTPA:ALMIL,1000mercis,France
TWSE:3130,104 Corporation,Taiwan
WSE:11B,11 bit studios S.A.,Poland
NASDAQGM:YI,"111, Inc.",China
CNSX:ELVN,1111 Exploration Corp.,Canada
XTRA:TGT,11880 Solutions AG,Germany
DUSE:123F,123fahrschule SE,Germany
HNX:C69,1369 Construction Joint Stock Company,Vietnam
JMSE:138SL,138 Student Living Jamaica Limited,Jamaica
ASX:14D,1414 Degrees Limited,Australia
OTCEM:CSFS.F,1511419 Ontario Inc.,(Invalid Identifier)
NASDAQGS:YQ,17 Education & Technology Group Inc.,China
JMSE:1834,1834 Investments Limited,Jamaica
TSXV:EFF,1844 Resources Inc.,Canada
TSXV:AUMB,1911 Gold Corporation,Canada
CNSX:TGIF,1933 Industries Inc.,Canada
BME:S0203,"1948 Inversions, SICAV, S.A",Spain
BME:S0009,1955 Inversiones SICAV S.A.,Spain
SEHK:8495,1957 & Co. (Hospitality) Limited,Hong Kong
BME:S0070,"1962 Capital, SICAV, SA",Spain
MUN:LR1U,1A Global Value,Germany
JSE:ETFGGB,1nvest Global Government Bond Index Feeder ETF,South Africa
JSE:ETFGRE,1nvest Global REIT Index Feeder ETF,South Africa
JSE:ETFGLD,1nvest Gold ETF,South Africa
JSE:ETFWLD,1nvest MSCI World Index Feeder ETF,South Africa
JSE:ETFPLD,1nvest Palladium ETF,South Africa
JSE:ETFPLT,1nvest Platinum ETF,South Africa
JSE:ETFRHO,1nvest Rhodium ETF,South Africa
JSE:ETF500,1nvest S&P500 Index Feeder ETF,South Africa
JSE:ETF5IT,1nvest S&P500 Info Tech Index Feeder ETF,South Africa
JSE:ETFSAP,1nvest SA Property ETF,South Africa
JSE:ETFSWX,1nvest Swix 40 ETF,South Africa
JSE:ETFT40,1nvest Top 40 ETF,South Africa
OTCEM:PGQW.F,1-Page Limited,(Invalid Identifier)
AIM:SPA,1Spatial Plc,United Kingdom
ASX:1ST,1st Group Limited,Australia
BSE:533022,20 Microns Limited,India
OB:2020,2020 Bulkers Ltd,Bermuda
NSE:3346,"21LADY Co.,Ltd.",Japan
SWX:ABTC,21Shares Bitcoin ETP,Switzerland
XKON:A270020,"21store Co.,Ltd.",South Korea
BUL:235H,235 Holdings AD,Bulgaria
NGM:247,24SevenOffice Group AB (publ),Sweden
#VALUE!,#VALUE!,#NA
ASX:29M,29Metals Limited,Australia
WSE:2CP,2C Partners S.A.,Poland
ENXTPA:2CRSI,2CRSI S.A.,France
OM:2CUREX,2cureX AB (publ),Denmark
XTRA:2GB,2G Energy AG,Germany
PSE:2GO,"2GO Group, Inc.",Philippines
WSE:IGS,2Intellect.com S.A.,Poland
XTRA:2INV,2invest AG,Germany
ENXTPA:2MX,2MX Organic S.A.,France
SET:2S,2S Metal Public Company Limited,Thailand
WBAG:4B7KQF3,3 Banken Aktiendachfonds,(Invalid Identifier)
DB:FH6H,3 Banken Amerika Stock-Mix,Austria
#VALUE!,#VALUE!,#NA
#VALUE!,#VALUE!,#NA
WBAG:4BRVWR0,3 Banken Emerging Market Bond-Mix,(Invalid Identifier)
WBAG:4CH9PH2,3 Banken Emerging-Mix,(Invalid Identifier)
#VALUE!,#VALUE!,#NA
DB:4BLKVV0,3 Banken Generali Investment - Short Term Euro Band,(Invalid Identifier)
#VALUE!,#VALUE!,#NA
#VALUE!,#VALUE!,#NA
WBAG:4CJZ5N4,3 Banken Nachhaltigkeitsfonds,(Invalid Identifier)
DB:B01GJZ4,3 Banken Österreich-Fonds,(Invalid Identifier)
WBAG:4CDT3P0,3 Banken Portfolio-Mix Fund,(Invalid Identifier)
#VALUE!,#VALUE!,#NA
#VALUE!,#VALUE!,#NA
#VALUE!,#VALUE!,#NA
OTCEM:SAYF.F,3 Sixty Risk Solutions Ltd.,(Invalid Identifier)
ZGSE:3MAJ,3. MAJ Brodogradiliste d.d.,Croatia
ASX:T3D,333D Limited,Australia
ASX:TCF,360 Capital Enhanced Income Fund,Australia
ASX:TGP,360 Capital Group,Australia
ASX:TOT,360 Capital REIT,Australia
NASDAQGS:QFIN,"360 DigiTech, Inc.",China
SEHK:3601,360 Ludashi Holdings Limited,China
SHSE:601360,360 Security Technology Inc.,China
SEHK:1361,361 Degrees International Limited,China
NASDAQGM:KRKR,36Kr Holdings Inc.,China
