NASDAQCM:VCXA,10X Capital Venture Acquisition Corp. II,United States
NYSE:VCXB.U,10X Capital Venture Acquisition Corp. III,United States
NASDAQGS:TXG,"10x Genomics, Inc.",United States
OTCPK:RETC,12 ReTech Corporation,United States
OTCPK:YSGG,1399 Internet Technology Application Group Inc.,United States
NASDAQGM:TURN,180 Degree Capital Corp.,United States
NASDAQCM:ATNF,180 Life Sciences Corp.,United States
NASDAQGS:FLWS,"1-800-FLOWERS.COM, Inc.",United States
OTCPK:KEGS,1812 Brewing Company Inc.,United States
NYSEAM:GOED,1847 Goedeker Inc.,United States
OTCQB:EFSH,1847 Holdings LLC,(Invalid Identifier)
OTCEM:WFCL,1867 Western Financial Corporation,(Invalid Identifier)
NASDAQCM:BCOW,"1895 Bancorp of Wisconsin, Inc.",United States
NASDAQGS:ONEM,"1Life Healthcare, Inc.",United States
OTCEM:ISOL,"1mage Software, Inc.",(Invalid Identifier)
OTCEM:OPMZ,"1PM Industries, Inc.",(Invalid Identifier)
OTCQX:FISB,1st Capital Bancorp,(Invalid Identifier)
OTCPK:FCOB,"1st Colonial Bancorp, Inc.",United States
OTCPK:FSGB,"1st Federal Savings Bank of SC, Inc.",United States
OTCEM:FNRC,1st NRG Corp.,(Invalid Identifier)
NASDAQGS:SRCE,1st Source Corporation,United States
OTCPK:FSMK,"1ST SUMMIT BANCORP of Johnstown, Inc.",United States
NASDAQGM:DIBS,"1stdibs.Com, Inc.",United States
PSGM:TWTG,20/20 GeneSystems Inc.,(Invalid Identifier)
NASDAQCM:XXII,"22nd Century Group, Inc.",United States
NASDAQGS:ME,23andMe Holding Co.,United States
NASDAQCM:ADER,26 Capital Acquisition Corp.,United States
BATS:LYFE,2nd Vote Funds - 2ndVote Life Neutral Plus ETF,United States
BATS:EGIS,2nd Vote Funds - 2ndVote Society Defended ETF,United States
NASDAQGS:TSVT,"2seventy bio, Inc.",United States
NASDAQGS:TWOU,"2U, Inc.",United States
OTCPK:TDCH,"30DC, Inc.",United States
OTCQB:SCWO,"374Water, Inc.",(Invalid Identifier)
NYSE:DDD,3D Systems Corporation,United States
OTCEM:THDS,3DShopping.com,(Invalid Identifier)
OTCPK:DDDX,"3DX Industries, Inc.",United States
NYSE:MMM,3M Company,United States
OTCEM:FTPM,"420 Property Management, Inc.",(Invalid Identifier)
OTCPK:CATV,"4Cable TV International, Inc.",United States
NASDAQGS:FDMT,"4D Molecular Therapeutics, Inc.",United States
CNSX:FFNT,4Front Ventures Corp.,United States
NASDAQCM:FVAM,5:01 Acquisition Corp.,United States
OTCPK:SSOF,"665 Energy, Inc.",United States
OTCEM:SIXD,"6D Global Technologies, Inc.",(Invalid Identifier)
NASDAQGM:SVNA,7 Acquisition Corporation,United States
OTCEM:SVNJ,"727 Communications, Inc.",(Invalid Identifier)
NASDAQCM:VII,7GC & Co. Holdings Inc.,United States
OTCEM:EIGH,8000 Inc,(Invalid Identifier)
OTCPK:RNWR,808 Renewable Energy Corporation,United States
NASDAQGM:ETNB,"89bio, Inc.",United States
NYSE:EGHT,"8x8, Inc.",United States
NASDAQCM:NMTR,"9 Meters Biopharma, Inc.",United States
NASDAQGM:MASS,908 Devices Inc.,United States
NYSE:AOS,A. O. Smith Corporation,United States
OTCEM:MAKE,A.D. Makepeace Company,(Invalid Identifier)
NYSE:AKA,a.k.a. Brands Holding Corp.,United States
OTCEM:CTAM,A.M. Castle & Co.,(Invalid Identifier)
OTCPK:AWON,"A1 Group, Inc.",United States
NYSE:ATEN,"A10 Networks, Inc.",United States
NASDAQCM:AADI,"Aadi Bioscience, Inc.",United States
NASDAQGS:AAON,"AAON, Inc.",United States
OTCPK:AAPJ,"AAP, Inc.",United States
NYSE:AIR,AAR Corp.,United States
DB:B1LH2W2,AB FCP I - Japan Strategic Value Portfolio,(Invalid Identifier)
ENXTAM:ABEEI,AB Fund N.V. - European Equity Portfolio,United States
OTCQB:ABQQ,AB International Group Corp.,(Invalid Identifier)
DB:5111402,AB SICAV I - Sustainable Global Thematic Portfolio,(Invalid Identifier)
OTCPK:ABTO,AB&T Financial Corp.,United States
NYSE:ABT,Abbott Laboratories,United States
NYSE:ABBV,AbbVie Inc.,United States
OTCEM:ABBY,"Abby, Inc.",(Invalid Identifier)
AIM:ABC,Abcam plc,United States
OTCPK:ABCE,"ABCO Energy, Inc.",United States
NASDAQCM:ABEO,Abeona Therapeutics Inc.,United States
NYSE:ANF,Abercrombie & Fitch Co.,United States
NYSE:ASGI,Aberdeen Standard Global Infrastructure Income Fund,United States
ARCA:SGOL,Aberdeen Standard Gold ETF Trust - Aberdeen Standard Physical Gold Shares ETF,United States
ARCA:PALL,Aberdeen Standard Palladium ETF Trust - Aberdeen Standard Physical Palladium Sha,United States
ARCA:GLTR,Aberdeen Standard Physical Precious Metals Basket Shares ETF,United States
ARCA:PPLT,Aberdeen Standard Platinum ETF Trust - Aberdeen Standard Physical Platinum Share,United States
DUSE:4008817,Aberdeen Standard SICAV I - North American Equity Fund,(Invalid Identifier)
ARCA:SIVR,Aberdeen Standard Silver ETF Trust - Aberdeen Standard Physical Silver Shares ET,United States
NASDAQCM:ABGI,ABG Acquisition Corp. I,United States
PSGM:AYHC,Ability Holding Corp.,(Invalid Identifier)
NASDAQGS:ABMD,"Abiomed, Inc.",United States
OTCEM:ABZT,Ablaze Technologies Inc,(Invalid Identifier)
OTCEM:ABLE,"Able Energy, Inc.",(Invalid Identifier)
NYSE:ABM,ABM Industries Incorporated,United States
OTCQX:AXAS,Abraxas Petroleum Corporation,(Invalid Identifier)
